Frame ID,QR id,QR 2D,QR 3D
273,0,"[[408.0, 63.0], [467.0, 59.0], [472.0, 119.0], [415.0, 123.0]]","[2.290157527038429, -152.29533177573893, 8.360189627104896, -1.562117934084866]"
274,0,"[[412.0, 31.0], [470.0, 27.0], [473.0, 86.0], [415.0, 90.0]]","[2.3388186567529003, -178.6329518420111, 3.2940491679678705, -2.8609678476760414]"
287,0,"[[228.0, 27.0], [288.0, 23.0], [294.0, 83.0], [236.0, 87.0]]","[2.3920815876158144, -149.20284410110574, -13.462772978014138, -8.617364291063486]"
288,0,"[[122.0, 12.0], [187.0, 8.0], [195.0, 68.0], [131.0, 74.0]]","[2.298914916526266, 178.35512727207697, -10.472557146539087, -8.155068871096441]"
308,0,"[[681.0, 56.0], [746.0, 55.0], [745.0, 118.0], [681.0, 117.0]]","[2.210299991766921, -142.4505981635499, 25.178905414037015, 7.978375334891029]"
316,1,"[[615.0, 84.0], [640.0, 88.0], [637.0, 114.0], [611.0, 112.0]]","[5.191749057221863, -172.12281438385253, -7.567854051980617, 4.854709480359225]"
317,1,"[[672.0, 99.0], [698.0, 103.0], [694.0, 129.0], [669.0, 126.0]]","[5.235634435503674, -177.23299096611967, -6.095302796041909, 6.3596218969542155]"
318,1,"[[702.0, 120.0], [727.0, 122.0], [724.0, 149.0], [698.0, 146.0]]","[5.318423019846343, -156.23311025370248, 30.062539743226417, 14.537019787804718]"
319,1,"[[705.0, 120.0], [732.0, 123.0], [728.0, 151.0], [702.0, 151.0]]","[4.806407413354624, -166.89269225895643, -12.902334938284739, 0.2643716873334139]"
320,1,"[[712.0, 116.0], [740.0, 118.0], [736.0, 147.0], [708.0, 144.0]]","[4.973501271993656, -157.6812650990957, 27.121990478694336, 13.130154661475933]"
321,1,"[[737.0, 115.0], [765.0, 116.0], [762.0, 145.0], [735.0, 143.0]]","[5.003058320859744, -154.3154038421564, 34.622427617331965, 13.62862536456333]"
322,1,"[[752.0, 111.0], [781.0, 113.0], [778.0, 142.0], [750.0, 141.0]]","[4.857494739002433, -173.73598985349517, -3.5529353634186562, 2.3004875565870484]"
323,1,"[[725.0, 92.0], [752.0, 93.0], [750.0, 123.0], [721.0, 123.0]]","[4.750533582590451, -165.35093585761413, -8.777397504372946, -1.0331720250969252]"
324,1,"[[688.0, 106.0], [714.0, 107.0], [712.0, 136.0], [684.0, 136.0]]","[4.829352451793609, -164.11979325078693, -10.401274879701592, -1.2436461803211063]"
325,1,"[[658.0, 88.0], [686.0, 90.0], [684.0, 121.0], [656.0, 119.0]]","[4.559304736980212, -173.58099161543333, -13.161135914026179, 0.5960389272691914]"
326,1,"[[657.0, 92.0], [686.0, 94.0], [683.0, 124.0], [654.0, 123.0]]","[4.66317530804207, -168.42898641715087, -4.837543013358672, 1.9534524778127333]"
327,1,"[[669.0, 80.0], [699.0, 82.0], [696.0, 114.0], [667.0, 113.0]]","[4.405855425117985, -169.83620431914198, -11.341917256299292, -0.11121051801683648]"
328,1,"[[663.0, 75.0], [694.0, 77.0], [691.0, 109.0], [661.0, 108.0]]","[4.402165191081617, -170.85059376722546, -6.961806004755184, 1.050202983760336]"
329,1,"[[643.0, 73.0], [674.0, 76.0], [671.0, 109.0], [640.0, 107.0]]","[4.24066527152097, -172.09108281238377, -9.764425263430581, 1.9855287410971898]"
330,1,"[[664.0, 73.0], [696.0, 76.0], [693.0, 108.0], [661.0, 107.0]]","[4.3035811196334555, -173.57509905947177, -2.41582827070474, 3.213371158615898]"
331,1,"[[676.0, 75.0], [709.0, 78.0], [704.0, 113.0], [673.0, 111.0]]","[4.050958483260855, -168.12858789073937, -11.727236074637043, 1.1769491997177404]"
332,1,"[[674.0, 83.0], [707.0, 85.0], [704.0, 121.0], [671.0, 119.0]]","[3.9684484743230577, -170.97754884336746, -10.174037772251117, 0.841893455184356]"
333,1,"[[663.0, 73.0], [697.0, 75.0], [695.0, 112.0], [660.0, 110.0]]","[3.8481994999451077, -173.4027111166242, -8.48960989018568, 1.1350401402713874]"
334,1,"[[648.0, 99.0], [684.0, 100.0], [682.0, 139.0], [647.0, 138.0]]","[3.610433261352482, -172.30921952922935, -12.238578659948635, -1.3225373262695084]"
335,1,"[[676.0, 98.0], [714.0, 99.0], [712.0, 137.0], [674.0, 137.0]]","[3.6669300184644307, -173.91212659808, 0.5334027457269018, 1.2240067341411613]"
336,1,"[[676.0, 98.0], [714.0, 99.0], [712.0, 137.0], [674.0, 137.0]]","[3.6669300184644307, -173.91212659808, 0.5334027457269018, 1.2240067341411613]"
337,1,"[[703.0, 120.0], [742.0, 124.0], [739.0, 165.0], [700.0, 163.0]]","[3.329995286453779, -176.25544148822624, -10.460833907033127, 2.1087350604254]"
338,1,"[[713.0, 117.0], [755.0, 120.0], [752.0, 163.0], [710.0, 161.0]]","[3.225779106477371, -176.68935465647425, -5.196470000024463, 2.425435994334836]"
339,1,"[[732.0, 109.0], [777.0, 111.0], [773.0, 157.0], [730.0, 155.0]]","[3.093612995377077, -152.97783398144352, 36.7306796958871, 13.692556718870524]"
340,1,"[[732.0, 122.0], [777.0, 124.0], [774.0, 171.0], [730.0, 169.0]]","[3.006956523019977, -175.94249851576959, -7.258879492247973, 1.0749796837994992]"
341,1,"[[759.0, 103.0], [807.0, 104.0], [805.0, 156.0], [757.0, 155.0]]","[2.7686391024130677, -174.17002743610746, -8.879272301621613, -0.8384531115995751]"
342,1,"[[769.0, 123.0], [820.0, 125.0], [819.0, 175.0], [768.0, 176.0]]","[2.7519421920290505, -178.3940063242845, -2.2794884200345464, 0.2664951203578264]"
343,1,"[[806.0, 102.0], [862.0, 102.0], [862.0, 160.0], [806.0, 160.0]]","[2.493331379479719, -177.96953185025083, -4.228823727300502, -0.9855119544643746]"
344,1,"[[848.0, 125.0], [907.0, 127.0], [907.0, 189.0], [847.0, 187.0]]","[2.335948275776269, 179.67787134389764, -5.1373986696560845, 0.7057753541628923]"
364,3,"[[487.0, 122.0], [503.0, 123.0], [502.0, 139.0], [486.0, 139.0]]","[8.24503932699271, -158.25953803447925, -6.8319139339878685, 0.19552253473860395]"
365,3,"[[492.0, 123.0], [509.0, 124.0], [508.0, 140.0], [492.0, 139.0]]","[8.020565501425207, -144.97144914958866, 7.3143384685548165, 5.334551397631136]"
368,3,"[[503.0, 158.0], [521.0, 159.0], [521.0, 177.0], [503.0, 179.0]]","[6.909730631303879, -166.40064652043662, -16.68263147165273, -4.8389831421051985]"
369,3,"[[486.0, 153.0], [504.0, 152.0], [505.0, 170.0], [487.0, 173.0]]","[7.024955863288825, -159.5804163284184, -12.942852502728147, -8.877083011208251]"
370,3,"[[495.0, 170.0], [513.0, 170.0], [512.0, 189.0], [496.0, 189.0]]","[7.681767917324886, -169.063654754462, 4.552617588573071, 0.5568814474119105]"
372,3,"[[542.0, 145.0], [561.0, 146.0], [559.0, 166.0], [541.0, 165.0]]","[7.147328271789292, -167.47244167025966, 5.443693865252721, 4.392561628066633]"
373,3,"[[544.0, 159.0], [564.0, 161.0], [563.0, 180.0], [544.0, 180.0]]","[6.629811035958435, 179.74635076289994, -9.062548486185287, 1.293914251627295]"
374,3,"[[547.0, 169.0], [567.0, 168.0], [567.0, 190.0], [548.0, 191.0]]","[6.729539847655624, -169.73884025402853, -3.9073429188092876, -3.3251671007286827]"
376,3,"[[527.0, 150.0], [549.0, 151.0], [548.0, 173.0], [528.0, 173.0]]","[5.983841876934964, -175.38431236110483, -14.766865667132514, -1.670474566005193]"
377,3,"[[504.0, 133.0], [526.0, 132.0], [527.0, 155.0], [506.0, 156.0]]","[5.887587708143232, -159.19229052209155, 21.51206615695667, 2.5235673099645584]"
378,3,"[[512.0, 165.0], [535.0, 164.0], [536.0, 188.0], [514.0, 190.0]]","[5.473732769893267, -171.16154138946823, -16.667519395590112, -6.866008323859514]"
379,3,"[[523.0, 176.0], [547.0, 175.0], [548.0, 197.0], [525.0, 200.0]]","[5.6233827467014414, -155.4418147037618, 4.821410384228669, -3.9895086543242955]"
380,3,"[[542.0, 135.0], [567.0, 135.0], [566.0, 159.0], [542.0, 159.0]]","[5.475221322453333, -150.71519320499468, 6.888087507777411, 1.7309963739448864]"
381,3,"[[560.0, 151.0], [585.0, 151.0], [585.0, 177.0], [561.0, 177.0]]","[5.179102932903167, -158.31490131187564, 25.403900130520466, 5.7829880399712845]"
382,3,"[[562.0, 155.0], [587.0, 154.0], [588.0, 181.0], [563.0, 182.0]]","[5.012739497897305, -173.33795682612768, -13.627598224799135, -4.771598629886948]"
383,3,"[[554.0, 162.0], [580.0, 161.0], [580.0, 187.0], [554.0, 188.0]]","[5.142541503032564, -178.38568578121934, 9.920398869396173, -0.11594466437379182]"
385,3,"[[551.0, 148.0], [578.0, 148.0], [577.0, 177.0], [551.0, 177.0]]","[4.995814677635255, -168.05158860311178, -2.2771880638776083, -0.5330241080164722]"
386,3,"[[552.0, 140.0], [580.0, 140.0], [580.0, 169.0], [553.0, 170.0]]","[4.611188041603044, -172.81628862103275, -12.74197456148004, -3.591018422792791]"
387,3,"[[562.0, 135.0], [591.0, 134.0], [592.0, 164.0], [563.0, 166.0]]","[4.479721312048155, -171.56035847393372, -8.314285724552809, -4.485108504083814]"
388,3,"[[573.0, 149.0], [603.0, 147.0], [605.0, 177.0], [575.0, 180.0]]","[4.426474163681397, -175.3805543985929, -2.198436621768033, -4.9125628482796095]"
389,3,"[[604.0, 117.0], [635.0, 117.0], [635.0, 149.0], [604.0, 150.0]]","[4.256000411831054, -173.3423891473804, -6.990365279239137, -2.2646980317247563]"
390,3,"[[629.0, 126.0], [662.0, 126.0], [664.0, 160.0], [630.0, 160.0]]","[3.924049239508033, 175.88385065724404, -7.596227333796386, -1.4174008312688688]"
391,3,"[[665.0, 144.0], [699.0, 142.0], [700.0, 178.0], [666.0, 179.0]]","[3.8885171620373833, -160.15687568579597, 33.46127032123706, 5.189494994100156]"
392,3,"[[675.0, 140.0], [711.0, 137.0], [711.0, 175.0], [676.0, 176.0]]","[3.7647124545629564, -163.71155797360203, 33.59164992374099, 4.580841551891956]"
393,3,"[[688.0, 105.0], [724.0, 104.0], [725.0, 143.0], [689.0, 145.0]]","[3.5737274420368377, -173.36735051331559, -11.524506213358233, -4.847065033971653]"
394,3,"[[698.0, 104.0], [736.0, 101.0], [737.0, 141.0], [700.0, 143.0]]","[3.5830828318013865, -157.08958647938113, 36.88324318697358, 6.377492564491029]"
395,3,"[[708.0, 64.0], [748.0, 62.0], [750.0, 105.0], [709.0, 108.0]]","[3.3152950232502945, -172.8267890422789, -7.538821035009853, -5.3236409551312605]"
